id;gender;phone;address_line_1;address_line_2;city;country;user_id
1;FEMALE;(524) 872-1664;Security;Team-oriented;West Noble;Iceland;1
2;FEMALE;159.755.3760 x85845;dedicated;users;Phoebeshire;Cocos (Keeling) Islands;2
3;FEMALE;894-026-8330;bypass Awesome Steel Tuna Spurs;Specialist copying;West Raleigh;Mauritius;2
4;MALE;070-057-1726;synthesize multi-tasking calculate;Chair azure;Lake Gracestad;Sri Lanka;2
5;FEMALE;574.166.8301 x227;Refined Hat Hat;Central African Republic Georgia;Flatleymouth;Comoros;2
6;MALE;865-406-9941 x39158;Rustic Cotton Table;approach maroon Branding;South Tiannaview;Solomon Islands;2
7;MALE;268.061.8524;compressing;Forint Steel black;Brekketown;Paraguay;2
8;MALE;194-768-8069 x25289;Ramp Latvian Lats;Internal New Leu Licensed;Larsonview;Tunisia;2
9;MALE;(179) 514-7508 x53703;Usability;South Carolina;Kiehnmouth;Reunion;2
10;MALE;708-780-1137 x757;Loaf payment;fuchsia;Averyborough;Norway;2
