id;description;lat_from;long_from;addr_from;phone_to;lat_to;long_to;addr_to;order_status
1;portal input;90598;76865;holistic payment North Dakota;Danish Krone;55341;26312;connect Berkshire target;ACCEPTED
2;open-source Outdoors;47168;59476;Tools e-markets;feed Investment Account Slovenia;48005;12661;hack Cotton;DELIVERED
3;Jewelery;89163;12713;overriding Pound Sterling;neutral Auto Loan Account Awesome;45175;30351;client-server Bedfordshire;VALIDATED
4;Practical Indian Rupee Ngultrum solid state;73672;4373;programming Health RSS;channels;47591;61507;application Uganda Shilling Algeria;CANCEL
5;generate Web;81276;29612;Granite multi-state;Cambridgeshire quantifying solid state;83958;9897;Table;CASH_ON_DELIVERY
6;visionary initiatives methodical;98469;8661;Granite GB primary;Response;18225;11686;rich;VALIDATED
7;France Money Market Account Corporate;19737;77345;Strategist;orchid SDR payment;86733;21088;Refined Granite Chips quantifying Mexico;CANCEL
8;software;93467;61390;24/7;Avon;9460;96769;bandwidth North Carolina virtual;REFUSED
9;bluetooth Mouse;43287;21293;North Carolina;Netherlands;60850;24036;analyzing Designer Mountain;REFUSED
10;withdrawal;50599;80113;Stand-alone pixel encryption;application Berkshire standardization;56608;94791;redefine;PENDING
